Subject,Slope,Trial,Muscle,Mean_EMG,percent_stance
1,Downslope,5,ABDM,64.83140415,20-40
1,Downslope,5,PDIO1,23.66811585,20-40
1,Downslope,5,PDIO3,67.26880547,20-40
1,Downslope,5,FDB,47.18771272,20-40
1,Downslope,5,EDB,52.15353636,20-40
1,Downslope,5,ABDH,13.63051172,40-60
1,Downslope,5,ABDM,40.92884208,40-60
1,Downslope,5,PDIO1,24.49284328,40-60
1,Downslope,5,PDIO3,47.60974881,40-60
1,Downslope,5,FDB,30.52025981,40-60
1,Downslope,5,EDB,35.85962387,40-60
1,Downslope,5,ABDH,13.63283945,60-80
1,Downslope,5,ABDM,32.46138372,60-80
1,Downslope,5,PDIO1,14.62722464,60-80
1,Downslope,5,PDIO3,30.09025683,60-80
1,Downslope,5,FDB,31.73982306,60-80
1,Downslope,5,EDB,45.61418734,60-80
1,Downslope,5,ABDH,16.44647036,80-100
1,Downslope,5,ABDM,3.430693179,80-100
1,Downslope,5,PDIO1,22.20621964,80-100
1,Downslope,5,PDIO3,9.91544617,80-100
1,Downslope,5,FDB,13.29494719,80-100
1,Downslope,5,EDB,6.39177366,80-100
2,Flat,1,ABDH,7.588423819,0-20
2,Flat,1,ABDM,8.592725653,0-20
2,Flat,1,PDIO1,12.00861196,0-20
2,Flat,1,PDIO3,18.07554146,0-20
2,Flat,1,FDB,34.76187035,0-20
2,Flat,1,EDB,32.05745276,0-20
2,Flat,1,ABDH,7.18739495,20-40
2,Flat,1,ABDM,5.515534322,20-40
2,Flat,1,PDIO1,9.61586505,20-40
2,Flat,1,PDIO3,12.36584168,20-40
2,Flat,1,FDB,16.92595171,20-40
2,Flat,1,EDB,16.16338691,20-40
2,Flat,1,ABDH,17.30707995,40-60
2,Flat,1,ABDM,12.47197045,40-60
2,Flat,1,PDIO1,16.18114525,40-60
2,Flat,1,PDIO3,12.27051749,40-60
2,Flat,1,FDB,22.45242168,40-60
2,Flat,1,EDB,12.6823194,40-60
2,Flat,1,ABDH,63.87848844,60-80
2,Flat,1,ABDM,16.6576193,60-80
2,Flat,1,PDIO1,40.17688116,60-80
2,Flat,1,PDIO3,22.83096623,60-80
2,Flat,1,FDB,62.08373015,60-80
2,Flat,1,EDB,12.7130854,60-80
2,Flat,1,ABDH,31.55901078,80-100
2,Flat,1,ABDM,9.221359623,80-100
2,Flat,1,PDIO1,40.61828317,80-100
2,Flat,1,PDIO3,29.44292198,80-100
2,Flat,1,FDB,27.44373894,80-100
2,Flat,1,EDB,25.61287281,80-100
2,Flat,2,ABDH,27.41788525,0-20
2,Flat,2,ABDM,7.754237121,0-20
2,Flat,2,PDIO1,16.6305303,0-20
2,Flat,2,PDIO3,22.00121667,0-20
2,Flat,2,FDB,44.44876237,0-20
2,Flat,2,EDB,35.36697429,0-20
2,Flat,2,ABDH,26.30932081,20-40
2,Flat,2,ABDM,5.615973813,20-40
2,Flat,2,PDIO1,13.77567303,20-40
2,Flat,2,PDIO3,14.95603689,20-40
2,Flat,2,FDB,23.7292697,20-40
2,Flat,2,EDB,9.819000076,20-40
2,Flat,2,ABDH,38.96314591,40-60
2,Flat,2,ABDM,12.29519846,40-60
2,Flat,2,PDIO1,14.00369717,40-60
2,Flat,2,PDIO3,11.97715205,40-60
2,Flat,2,FDB,26.43780568,40-60
2,Flat,2,EDB,12.83710944,40-60
2,Flat,2,ABDH,51.20797828,60-80
2,Flat,2,ABDM,20.40092828,60-80
2,Flat,2,PDIO1,26.20604952,60-80
2,Flat,2,PDIO3,25.29232886,60-80
2,Flat,2,FDB,57.36128687,60-80
2,Flat,2,EDB,20.93371697,60-80
2,Flat,2,ABDH,13.76556189,80-100
2,Flat,2,ABDM,9.140381364,80-100
2,Flat,2,PDIO1,37.74164848,80-100
2,Flat,2,PDIO3,28.48801086,80-100
2,Flat,2,FDB,17.83632939,80-100
2,Flat,2,EDB,24.14691712,80-100
2,Flat,3,ABDH,27.41788525,0-20
2,Flat,3,ABDM,7.754237121,0-20
2,Flat,3,PDIO1,16.6305303,0-20
2,Flat,3,PDIO3,22.00121667,0-20
2,Flat,3,FDB,44.44876237,0-20
2,Flat,3,EDB,35.36697429,0-20
2,Flat,3,ABDH,26.30932081,20-40
2,Flat,3,ABDM,5.615973813,20-40
2,Flat,3,PDIO1,13.77567303,20-40
2,Flat,3,PDIO3,14.95603689,20-40
2,Flat,3,FDB,23.7292697,20-40
2,Flat,3,EDB,9.819000076,20-40
2,Flat,3,ABDH,38.96314591,40-60
2,Flat,3,ABDM,12.29519846,40-60
2,Flat,3,PDIO1,14.00369717,40-60
2,Flat,3,PDIO3,11.97715205,40-60
2,Flat,3,FDB,26.43780568,40-60
2,Flat,3,EDB,12.83710944,40-60
2,Flat,3,ABDH,51.20797828,60-80
2,Flat,3,ABDM,20.40092828,60-80
2,Flat,3,PDIO1,26.20604952,60-80
2,Flat,3,PDIO3,25.29232886,60-80
2,Flat,3,FDB,57.36128687,60-80
2,Flat,3,EDB,20.93371697,60-80
2,Flat,3,ABDH,13.76556189,80-100
2,Flat,3,ABDM,9.140381364,80-100
2,Flat,3,PDIO1,37.74164848,80-100
2,Flat,3,PDIO3,28.48801086,80-100
2,Flat,3,FDB,17.83632939,80-100
2,Flat,3,EDB,24.14691712,80-100
2,Flat,4,ABDH,23.48682215,0-20
2,Flat,4,ABDM,7.613357513,0-20
2,Flat,4,PDIO1,24.66868636,0-20
2,Flat,4,PDIO3,14.98044738,0-20
2,Flat,4,FDB,39.21248615,0-20
2,Flat,4,EDB,10.45346387,0-20
2,Flat,4,ABDH,23.30418338,20-40
2,Flat,4,ABDM,4.985010974,20-40
2,Flat,4,PDIO1,15.30253382,20-40
2,Flat,4,PDIO3,10.82380679,20-40
2,Flat,4,FDB,20.64565205,20-40
2,Flat,4,EDB,8.808096282,20-40
2,Flat,4,ABDH,40.48578282,40-60
2,Flat,4,ABDM,11.13055479,40-60
2,Flat,4,PDIO1,18.20218644,40-60
2,Flat,4,PDIO3,12.87335146,40-60
2,Flat,4,FDB,23.19609351,40-60
2,Flat,4,EDB,10.07256592,40-60
2,Flat,4,ABDH,57.28188462,60-80
2,Flat,4,ABDM,17.51874549,60-80
2,Flat,4,PDIO1,30.10609,60-80
2,Flat,4,PDIO3,21.33450051,60-80
2,Flat,4,FDB,44.7584959,60-80
2,Flat,4,EDB,17.06644331,60-80
2,Flat,4,ABDH,10.8199261,80-100
2,Flat,4,ABDM,7.700134154,80-100
2,Flat,4,PDIO1,31.10586692,80-100
2,Flat,4,PDIO3,28.10097997,80-100
2,Flat,4,FDB,14.42506879,80-100
2,Flat,4,EDB,16.64192967,80-100
2,Flat,5,ABDH,14.63871418,0-20
2,Flat,5,ABDM,8.111937429,0-20
2,Flat,5,PDIO1,18.62449047,0-20
2,Flat,5,PDIO3,26.61683255,0-20
2,Flat,5,FDB,57.15566052,0-20
2,Flat,5,EDB,48.43349317,0-20
2,Flat,5,ABDH,6.329736,20-40
2,Flat,5,ABDM,5.584508935,20-40
2,Flat,5,PDIO1,12.02674704,20-40
2,Flat,5,PDIO3,10.9072834,20-40
2,Flat,5,FDB,27.3842361,20-40
2,Flat,5,EDB,27.1687586,20-40
2,Flat,5,ABDH,12.36187003,40-60
2,Flat,5,ABDM,8.609620935,40-60
2,Flat,5,PDIO1,16.29380384,40-60
2,Flat,5,PDIO3,13.30886634,40-60
2,Flat,5,FDB,19.28886286,40-60
2,Flat,5,EDB,17.0451833,40-60
2,Flat,5,ABDH,47.6540587,60-80
2,Flat,5,ABDM,16.49840392,60-80
2,Flat,5,PDIO1,35.83618057,60-80
2,Flat,5,PDIO3,21.69228257,60-80
2,Flat,5,FDB,47.43858753,60-80
2,Flat,5,EDB,14.75729426,60-80
2,Flat,5,ABDH,12.2510806,80-100
2,Flat,5,ABDM,7.642653766,80-100
2,Flat,5,PDIO1,47.97797766,80-100
2,Flat,5,PDIO3,41.63103561,80-100
2,Flat,5,FDB,15.93976275,80-100
